sequenceID,sum_diff,autocorr,mean_diff,abs_skewness,count,max_diff,kurtosis,variance,mean,std_deviation,unique_count,max_value,range_value,iqr,percentile_75,percentile_25,percentile_50,median,min_diff,min_value
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:62460760-77546461,874676,0.9739717921407662,1.0822626306620209,1.315383577693509,808193,6,1.89958915228622,24.22937523506072,6.052968783446528,4.922334327842911,40,39,39,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr18:18510898-52059136,1776409,0.99614831016187,1.089099192498717,43.53055716848358,1631082,57,2777.2539553643546,174.74256866592165,5.8361327020959095,13.219022984544722,630,1154,1154,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr1:3995268-13052998,542306,0.973994622985975,1.0848267957055495,1.0272475848774556,499902,6,0.8930844333694892,24.42682201839441,6.5200179235130085,4.942349847834976,36,36,36,6.0,9.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr2:21178113-87668206,4350374,0.9756932805663058,1.089240158810081,1.2663441231347652,3993954,8,1.706060563647438,26.42924549154917,6.477049310032114,5.140938191765116,47,46,46,6.0,9.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr3:60000-66170270,4377414,0.9764384288187002,1.0886774081631891,1.2584915155113552,4020856,12,1.5796472779803934,27.223992342853595,6.537634772297242,5.217661578030295,48,47,47,6.0,9.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr4:75452279-191044276,6389846,0.9733022037441806,1.0847253745278616,1.6516175350362514,5890751,9,3.317631342763019,23.770097012622585,5.545038145390969,4.875458646386265,56,55,55,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr6:95830543-157559467,3997250,0.9746556994320608,1.0879603230961137,1.464366652082629,3674078,7,2.561992710510053,25.26231032126848,6.161740986446123,5.026162584046449,49,48,48,5.0,8.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr7:100606043-130154523,1764594,0.975466320328872,1.0864402000248738,1.516357390777824,1624199,6,2.9327215585117314,25.99195420105167,6.025498107066929,5.098230497050096,58,57,57,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr8:86726451-142766515,3187176,0.972249236489914,1.0835736986614335,1.6552447468725835,2941357,8,4.104503783858004,22.79987860429939,5.593413856257503,4.774921842742495,76,75,75,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr9:92678796-133073060,2645208,0.9753063043656652,1.0881259214406065,1.2766510404481803,2430977,9,1.90617316989602,25.946544442999866,6.466899522290832,5.093775067962843,55,54,54,6.0,9.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,1336653,0.9831354986476972,1.121081382114571,1.593819751681773,1192290,10,2.7219391981838337,41.381974827723845,6.958441318806666,6.432882311042527,60,59,59,8.0,10.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,4887660,0.9848784446809952,1.1236723283337775,1.4449661173239217,4349721,9,1.999791663994417,46.44656627406834,7.468905706825794,6.815171771427947,76,75,75,8.0,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516,2225444,0.9848692865996168,1.1204751276457448,1.6088495641285152,1986162,9,2.388423885771682,46.06613532332818,6.847208334466171,6.787203792676936,54,53,53,7.0,9.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr12:37856694-109373470,4858891,0.9863573337799452,1.1259202907483843,1.5693729962162102,4315485,16,3.290040883773232,51.78745865771394,7.6567665048076865,7.196350370688878,114,154,154,8.0,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr12:7239876-34856694,1780236,0.983923084035541,1.1226658897335091,1.803829963603616,1585723,12,3.8631786610292966,43.60861434726105,6.84929019759441,6.603681878108685,91,94,94,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr13:19020000-86760324,4159839,0.983546199943595,1.1210325432712402,1.812822471206504,3710722,10,3.517930651679834,42.39840891264614,6.600027703503523,6.511406062644699,57,56,56,7.0,9.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr14:19000000-107289540,5809468,0.9858015304769135,1.1245325793952057,1.4724795583508226,5166119,16,2.295718606463694,49.58936696090372,7.606750057441572,7.0419718091528685,108,121,121,8.0,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr15:29209443-82829645,4135966,0.98738730114389,1.1317154084483687,1.1565722958881344,3654600,10,1.124576449023368,56.81494419201568,8.974777540633722,7.537568851560541,85,90,90,10.0,13.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr16:46385801-88389383,2906667,0.9998669743578312,1.1843701460523806,15.864274059344384,2454189,53,306.18994483822246,8205.488896277853,15.826790846181773,90.58415367092556,2421,2937,2937,9.0,12.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr17:34725848-62410760,2227653,0.9881768145900752,1.1313965222929483,1.1761377456028248,1968942,9,2.2694442948332814,60.55153717988177,9.61602779563847,7.781486823215841,106,105,105,11.0,14.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr17:62460760-77546461,1033852,0.9856773629716165,1.1221981733990103,1.29241078942918,921275,10,1.580290505312588,48.871639208186544,8.127708881712843,6.99082535958284,55,54,54,9.0,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr18:18510898-52059136,1943076,0.9957446250791768,1.1230692403193252,37.28090461688627,1730149,65,2262.082350756442,170.5065617103899,6.628061513777137,13.057816115659996,617,1095,1095,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr1:3995268-13052998,602414,0.9853431657037252,1.1227776545600598,1.015535019938633,536540,8,0.6926077446485901,47.82898470510542,8.573791329630597,6.915850251784333,51,50,50,10.0,13.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr2:21178113-87668206,4614160,0.985203437019834,1.1262754065276308,1.3382934333210672,4096832,8,1.549294564481519,47.77505949137995,7.7725349733647855,6.911950483863433,64,63,63,8.0,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr3:60000-66170270,4485814,0.9848688629819592,1.123996823813083,1.3853102777409712,3990950,11,1.805493177945983,46.44690883779416,7.609468171738558,6.815196903816805,69,68,68,8.0,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr4:75452279-191044276,6912648,0.9821598262190788,1.1195637738459954,1.939551276074488,6174413,10,4.365172930577567,38.95960391541349,6.272495053375924,6.241762885228298,75,74,74,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr6:95830543-157559467,3916165,0.9812562620896508,1.1199179714667449,1.792207886008249,3496833,9,3.692980605499305,37.10050521802866,6.470860061089563,6.091018405655056,61,60,60,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr7:100606043-130154523,1881171,0.982697971302388,1.1219725597973118,1.6091161996047447,1676665,8,2.668280591362495,40.40524230467803,6.831588301777636,6.356511803235956,51,50,50,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr8:86726451-142766515,3423338,0.982552599137924,1.1195845485769305,1.812791779931974,3057687,8,3.674458539229004,39.83750498900695,6.4944368079532016,6.311695888507854,68,67,67,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr9:92678796-133073060,2872322,0.9854816408046206,1.1252265772854289,1.362194969605225,2552662,9,2.0584261604567886,48.561797289051846,8.027335385570044,6.968629512971101,72,71,71,9.0,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr10:18024675-38818835,1083708,0.9797122913782776,1.5059385261449398,1.8920244124492889,719624,18,4.623242464550145,79.50814627759227,8.480213278045202,8.916734058924954,96,95,95,10.0,12.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr10:51448845-125869472,3987860,0.9810445571843522,1.4986095661846497,1.7260312615731417,2661041,22,3.5127995563262924,84.17445725043305,8.947002695561624,9.1746638767005,89,90,90,11.0,13.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516,1771912,0.9801194575267674,1.4943234814406263,1.8038047382624145,1185763,18,3.715527504911312,79.48601121407313,8.279229491896778,8.915492763390766,79,79,79,10.0,12.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr12:37856694-109373470,4140320,0.9840306938380764,1.5167107357969551,1.8211674895213543,2729803,23,4.326551491774746,102.82681433840295,9.60597999196279,10.140355730367794,134,166,166,12.0,14.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr12:7239876-34856694,1513590,0.9807864910950382,1.5207313544404524,1.938682866976518,995305,24,4.843195858535374,86.18533471682926,8.634224684895585,9.283605695893662,108,109,109,10.0,12.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr13:19020000-86760324,3460070,0.9810394401405086,1.528101707685357,1.981819189339983,2264294,24,4.780270947801107,88.14342467610203,8.46349237334021,9.388472968278816,95,94,94,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr14:19000000-107289540,4768414,0.9819663567787112,1.5000361764226615,1.7094075569139904,3178867,28,3.487457334949752,88.79329428651043,9.18048317214907,9.423019382687825,100,99,99,11.0,13.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr15:29209443-82829645,3468938,0.9838581281218488,1.501339500952582,1.4532842968411,2310563,25,2.4217678958085824,99.41350582528791,10.64262692685722,9.970632167785949,94,93,93,13.0,16.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr16:46385801-88389383,2228158,0.9997147523378126,1.542155015731911,12.390662079856776,1444835,44,188.18864020004764,6972.488258331194,18.162626874348973,83.50142668440579,1873,2120,2120,12.0,14.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr17:34725848-62410760,1837252,0.9841441205985012,1.469099957860126,1.3930363179631424,1250598,26,2.154263521291519,95.91840607970124,10.742073791897957,9.79379426370093,86,86,86,13.0,16.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr17:62460760-77546461,811496,0.9831123970458516,1.4492578655889303,1.8140576384585587,559940,24,4.303196217282672,87.1463167835367,9.23620030717577,9.33521916098046,84,83,83,10.0,13.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr18:18510898-52059136,1540215,0.9885829763901904,1.519092025386994,15.54897539324632,1013906,44,543.7165742943192,146.26190580206958,8.09679792801305,12.093878856763432,420,588,588,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr1:3995268-13052998,444402,0.9794937996325714,1.432191946373612,1.5442508344854018,310296,23,3.0257990099258154,69.68540230843027,8.980631397117591,8.347778285773423,70,69,69,10.0,13.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr2:21178113-87668206,3861846,0.9820381376751416,1.5084440298857256,1.626526035960607,2560153,24,3.142237804407164,90.35877301767977,9.535587912128689,9.505723171736054,95,96,96,11.0,14.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr3:60000-66170270,3621400,0.98006643584155,1.488238216744262,1.7114555279700163,2433348,19,3.603421903140944,78.65560402893612,8.819139309297315,8.86879946942855,97,96,96,11.0,13.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr4:75452279-191044276,5799600,0.9788171820972826,1.529522344697941,2.1828520237436786,3791773,26,7.974885880095918,79.18047478846556,7.9413105689607475,8.898341125651767,164,213,213,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr6:95830543-157559467,3316643,0.977622314714543,1.5207854645497794,2.0731518389933026,2180876,23,5.755693475760914,73.79931444856936,7.966221830126977,8.59065273704911,111,118,118,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr7:100606043-130154523,1578306,0.9799410915152094,1.5116295329319065,1.986901469705378,1044110,21,4.995621701777726,81.35117234294775,8.380216643840209,9.019488474572588,92,93,93,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr8:86726451-142766515,2823572,0.9801078014789296,1.5111299495803356,2.043083337060721,1868518,23,5.372772574565187,81.8061280376245,8.170965438920042,9.044674015000458,98,98,98,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr9:92678796-133073060,2302558,0.9806672377165414,1.4835094600741443,1.7370545250539302,1552103,17,4.01533127060679,80.50287642426287,9.090175072144053,8.972339517888457,91,92,92,10.0,13.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr10:18024675-38818835,1319658,0.9928037328220248,1.4834768669392324,1.6020279879090975,889572,16,3.220034467446343,205.59100309599333,13.839441888908372,14.338444932976286,152,151,151,18.0,21.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr10:51448845-125869472,5116555,0.9940299429556712,1.4886797256308235,1.3556514793012764,3436976,17,1.710106212204289,250.1405072641641,15.923956117237944,15.815830906536783,165,169,169,20.0,24.0,4.0,10.0,10.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr11:96437584-134946516,2276935,0.9948940503471638,1.496081953727236,1.3556700443599532,1521933,14,1.4616898760569417,296.2782727020571,16.212450219556313,17.212735770413055,119,118,118,23.0,26.0,3.0,9.0,9.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr12:37856694-109373470,5003360,0.9947200396741364,1.502409898676455,1.3614736462220374,3330224,22,1.722321623807379,289.42575746206614,16.897772642320756,17.012517669706213,142,142,142,22.0,26.0,4.0,11.0,11.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr12:7239876-34856694,1671584,0.9928888660393452,1.4857798063205798,1.7678648118667564,1125056,14,3.732012005125406,209.1155721084396,13.136071448887876,14.460828887323148,153,153,153,16.0,19.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr13:19020000-86760324,3713782,0.9930462466184142,1.486711089137845,1.7277108758278923,2497986,16,3.277361106354504,213.64866436599635,13.06121451441281,14.61672550080887,129,129,129,16.0,19.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr14:19000000-107289540,6326996,0.9946435539849092,1.4956401365106389,1.3003623702376257,4230294,22,1.4391313611898378,282.14953041926407,16.992322283037538,16.797307237151557,132,132,132,22.0,26.0,4.0,11.0,11.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr15:29209443-82829645,4904451,0.9944193789952648,1.5022113004051372,1.1940660050072536,3264822,17,1.464982888793553,273.8245930102198,18.50367523865007,16.547646147117717,148,149,149,23.0,28.0,5.0,14.0,14.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr16:46385801-88389383,3608056,0.9998119334026824,1.575315090873924,14.679489883835425,2290372,89,260.205942509379,11653.57138032086,29.07937575206124,107.95170855674708,2712,3309,3309,26.0,31.0,5.0,15.0,15.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr17:34725848-62410760,3035153,0.9953207525912235,1.503445614667738,1.0427055241778145,2018799,15,1.1227685329160335,327.9827498947677,21.35572090138741,18.110294031151668,206,215,215,27.0,33.0,6.0,17.0,17.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr17:62460760-77546461,1360022,0.994596556723048,1.4844679141816786,1.1498456853467474,916169,17,1.0901973841579555,275.4166730810854,18.43893539292424,16.59568236262328,123,122,122,23.0,28.0,5.0,14.0,14.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr18:18510898-52059136,1756335,0.9973125794201368,1.4923920367690606,25.59680918113007,1176860,92,1167.7316474638685,590.6207926619139,13.36424468500926,24.30269105802717,743,1433,1433,16.0,19.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr1:3995268-13052998,910704,0.9951175523920625,1.492125700429269,1.04919626624466,610341,14,1.0016931185815745,308.91110954673906,20.829929498427926,17.575867248780046,141,140,140,25.0,31.0,6.0,17.0,17.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr2:21178113-87668206,4893158,0.9936173837274532,1.493526277796685,1.2642120837380617,3276246,16,1.4454370135187244,235.8867913784184,16.10657777224299,15.358606426965254,126,125,125,21.0,25.0,4.0,11.0,11.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr3:60000-66170270,5109766,0.9946020693431816,1.4986466102786056,1.24975866476026,3409588,16,1.3997925152777095,281.638394392002,17.61658476038747,16.782085519744022,141,143,143,23.0,27.0,4.0,12.0,12.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr4:75452279-191044276,5731175,0.9923945300884716,1.4851543518280497,2.210992784634745,3858977,24,12.858975800375832,194.95040754177828,12.067950910306022,13.962464236007134,301,404,404,15.0,17.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr6:95830543-157559467,3473734,0.9916217198721,1.481674497166731,1.7713192755212823,2344466,14,3.660438050811739,175.94663142686946,12.165859517689745,13.26448760513837,132,131,131,14.0,17.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr7:100606043-130154523,1820641,0.9931075566214372,1.484559090334601,1.431274911779273,1226386,15,2.1417373083141813,215.33855194563225,14.561742387796338,14.674418283040463,140,146,146,19.0,22.0,3.0,9.0,9.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr8:86726451-142766515,3139442,0.9928118024243374,1.4836009330389548,1.7538137996359235,2116097,15,3.5167114950712786,205.924659095421,12.922062646466584,14.350075229608414,131,130,130,16.0,19.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr9:92678796-133073060,3425156,0.9943390180235072,1.4950817325047392,1.3310211246940409,2290950,16,2.2254473666773125,266.9657354046797,17.52942796656409,16.33908612513808,187,192,192,23.0,27.0,4.0,13.0,13.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr10:18024675-38818835,814863,0.9770154901282716,1.8737608679155904,1.981975256729172,434882,42,5.553780889511078,141.5454085622393,11.230506206281245,11.89728576450273,125,124,124,13.0,16.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr10:51448845-125869472,2705646,0.9769508319072052,1.8490395832350943,1.940713767401162,1463272,39,5.332690041804532,136.30048152324082,11.242036340475318,11.67477972054466,135,144,144,13.0,16.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr11:96437584-134946516,1098812,0.9760594190857356,1.8479416899030288,1.9478795863256648,594615,44,5.274601489901405,130.8023673199371,10.718160490401353,11.43688625981465,124,126,126,13.0,15.0,2.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr12:37856694-109373470,2854118,0.9802157345630248,1.8792843475386607,2.0164417512031045,1518727,40,6.569647016099781,165.10459483986526,12.1820952679448,12.849303282274306,189,223,223,14.0,17.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr12:7239876-34856694,1096581,0.9778275752072914,1.8951857369507128,2.0065572464632284,578615,47,5.406149795573102,151.97878992417915,11.359855862706636,12.327967793767924,119,121,121,13.0,16.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr13:19020000-86760324,2368856,0.9781799232183996,1.9079274411921523,2.0700880585384622,1241587,49,6.34729669566216,156.45055299744527,11.448414005623448,12.508019547372207,141,143,143,13.0,16.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr14:19000000-107289540,3273278,0.978065864820648,1.854514818994783,1.8978424265154288,1765033,41,4.925347763115491,144.66814521217202,11.5332376221861,12.027807165571454,132,132,132,13.0,16.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr15:29209443-82829645,2678280,0.9804971295950132,1.863239443674553,1.888350050996085,1437433,49,5.123684019720149,164.4234412010661,12.770220246787154,12.822770418324822,143,145,145,14.0,18.0,4.0,9.0,9.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr16:46385801-88389383,1550492,0.9993192760424304,1.8923277643322751,9.647125456570691,819358,45,118.90019431411189,5122.829871622716,21.11874906939336,71.57394687749668,1337,1620,1620,14.0,17.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr17:34725848-62410760,1313146,0.9781350468422704,1.7966323387965133,1.852373828463568,730894,42,4.9533844627503125,133.09635811827516,11.68274195711006,11.536739492520196,129,139,139,13.0,16.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr17:62460760-77546461,571771,0.9775009924852576,1.7820785737661489,2.267233050027241,320846,41,8.051836541450982,128.7380820767113,10.433360553037906,11.346280539309404,131,131,131,11.0,14.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr18:18510898-52059136,966793,0.985706210209297,1.88188680567451,9.81320148983984,513737,48,244.2226671650212,231.7056960113064,11.313582630801363,15.221882144180016,377,553,553,14.0,16.0,2.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr1:3995268-13052998,322200,0.9763322895387224,1.750221357915379,2.2282032871353823,184092,27,7.798546563949174,115.1173635469751,10.3082697781544,10.72927600292653,119,125,125,11.0,14.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr2:21178113-87668206,2789880,0.977905494868314,1.8726452486798624,1.9085460702953287,1489808,43,5.329151488669494,147.0815468283205,11.855796854359756,12.12771812124278,138,141,141,14.0,17.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr3:60000-66170270,2526180,0.9767564496256488,1.83324201642253,2.0771833157209434,1377986,43,6.493222123095606,132.78930418616935,10.847687857496377,11.523424151968433,150,153,153,12.0,15.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr4:75452279-191044276,3690429,0.977043570952666,1.906284221314016,1.9949728781603628,1935929,55,5.4529366649460815,148.106287385061,11.133927948803908,12.16989266119718,132,131,131,14.0,16.0,2.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr6:95830543-157559467,2301806,0.9755525056578528,1.8992159092127987,2.180924690645484,1211978,45,8.496971429446745,138.0179203836107,10.832854226726887,11.748102841889438,182,211,211,12.0,15.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr7:100606043-130154523,1003434,0.9771213368316466,1.8642284261978943,2.0028558858072083,538258,34,5.581596630102378,140.6020088338454,11.06132003611651,11.857571793324524,133,143,143,12.0,15.0,3.0,7.0,7.0,1,0
